92.126.121.12 r1.sn-gvnuxaxjvh-3w5s.googlevideo.com
118.98.36.145 r6---sn-2uuxa3vh-cuie.googlevideo.com
84.235.64.142 r3.stc-ruh7.googlevideo.com
187.18.184.12 r1---sn-8pqxvh5g-4vge.googlevideo.com
50.202.95.153 r10.sn-bvvbax-cvnl.googlevideo.com
83.255.236.205 r2.sn-jvhixh-hhml.googlevideo.com
202.43.172.12 r1.sn-qu2oxupq-jb3e.googlevideo.com
77.74.42.16 r5---sn-h5bupjvh-c0ne.googlevideo.com
202.128.15.12 r1.sn-b05hj5cax8pnpvo-b0hl.googlevideo.com
113.171.237.143 r4---sn-8qj-8j5e7.googlevideo.com
188.21.9.27 r8.sn-uxax3vh50nugp5-8pxy.googlevideo.com
42.114.77.209 r6---sn-42u-nbosr.googlevideo.com
74.125.169.136 r3---sn-cvh7knle.googlevideo.com
217.130.7.78 r3.sn-8vq54voxn25po-mgte.googlevideo.com
80.97.208.94 r11.sn-gvhuxax-cc0e7.googlevideo.com
188.43.69.206 r3---sn-ug5onuxaxjvh-iu5e.googlevideo.com
177.129.156.173 r2---sn-uv2oxucg-nn5e.googlevideo.com
173.194.49.9 r4.sn-oguelney.googlevideo.com
186.2.131.174 r3---sn-upbvio-n52e.googlevideo.com
74.125.12.202 r5.sn-npoe7nek.googlevideo.com
128.75.235.237 r2---sn-8ph2xajvh-304l.googlevideo.com
82.114.163.237 r2.sn-txhxooxu-n5is.googlevideo.com
211.62.213.143 r4---sn-ab02a0nfpgxapox-u5xe.googlevideo.com
64.15.126.9 r2.sn-xqbxa5c-cvns.googlevideo.com
191.7.51.173 r2.sn-8p5j5nucg-4vge.googlevideo.com
61.90.189.210 r7.sn-5np5po4v-c33z7.googlevideo.com
186.160.223.80 r5---sn-xouxa2xg0-aphl.googlevideo.com
190.92.112.19 r8---sn-xuxjn5-i58e.googlevideo.com
201.0.238.113 r6---sn-8p8v-bg0lr.googlevideo.com
113.171.212.108 r1---sn-8qj-nbosl.googlevideo.com
182.79.138.17 r6---sn-ci5gup-25ul.googlevideo.com
94.190.64.174 r3---sn-ubpouxgg5-n8ml.googlevideo.com
49.44.210.17 r6.sn-gwpa-gq2d.googlevideo.com
125.234.51.210 r7.sn-8pxuuxa-nboll.googlevideo.com
74.125.153.93 r13.sn-n8v7znze.googlevideo.com
113.171.207.46 r3.sn-8qj-i5o6s.googlevideo.com
188.253.255.19 r8.sn-c53uxax3vh-btql.googlevideo.com
86.57.206.97 r14---sn-cxauxaxjvh-hn9el.googlevideo.com
177.190.144.205 r2---sn-h3oxufvg3-hvje.googlevideo.com
212.113.172.14 r3---sn-1vo-v2vs.googlevideo.com
